Comment,Designator,Footprint,LCSC,Quantity
Conn_01x24_MountingPin,J2,Jushuo_AFC07-S24FCA-00_1x24-1MP_P0.50_Horizontal,C11092,1
1kR,R8,R_0402_1005Metric,C11702,1
SW_Push,"SW1,SW2,SW3,SW4",SW_Push_1P1T_NO_Vertical_Wuerth_434133025816,C139797,4
4.7uF,"C1,C2",C_0805_2012Metric,C1779,2
3R,R3,R_0603_1608Metric,C23157,1
10kR,"R10,R9",R_0402_1005Metric,C25744,2
1MR,"R1,R7",R_0402_1005Metric,C26083,2
SHT4x,U2,Sensirion_DFN-4_1.5x1.5mm_P0.8mm_SHT4x_NoCentralPad,C2848306,1
4.7uF,C21,C_0402_1005Metric,C2858031,1
10uH,L4,L_0805_2012Metric,C2909263,1
100nF,"C22,C25",C_0402_1005Metric,C307331,2
LED_Small,D4,LED_1206_3216Metric_ReverseMount_Hole1.8x2.4mm,C3646938,1
Q_NMOS_GSD,"Q1,Q2",SOT-23,C414015,2
"PMEG3010ER,115","D1,D2,D3",D_SOD-123,C456106,3
1uF,"C13,C14,C15,C17,C18,C19,C20,C23,C24",C_0402_1005Metric,C52923,9
CR2032,BT1,BatteryHolder_Multicomp_BC-2001_1x2032,C964829,1
BM15x,U1,BM15x-LGA-45_15.8x10mm,C9900148376,1
32.768KHz,Y2,Crystal_SMD_2012-2Pin_2.0x1.2mm,C99009,1
