Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BT1,CR2032,BatteryHolder_Multicomp_BC-2001_1x2032,129.0,-64.0,180.0,bottom
C1,4.7uF,C_0805_2012Metric,115.8,-54.1,90.0,bottom
C13,1uF,C_0402_1005Metric,144.0,-45.8,180.0,bottom
C14,1uF,C_0402_1005Metric,144.0,-46.7,180.0,bottom
C15,1uF,C_0402_1005Metric,144.0,-47.6,180.0,bottom
C17,1uF,C_0402_1005Metric,144.0,-48.5,180.0,bottom
C18,1uF,C_0402_1005Metric,144.0,-49.4,180.0,bottom
C19,1uF,C_0402_1005Metric,144.0,-50.3,180.0,bottom
C2,4.7uF,C_0805_2012Metric,136.63,-51.99,90.0,bottom
C20,1uF,C_0402_1005Metric,144.0,-51.2,180.0,bottom
C21,4.7uF,C_0402_1005Metric,144.0,-53.3,180.0,bottom
C22,100nF,C_0402_1005Metric,144.0,-52.4,180.0,bottom
C23,1uF,C_0402_1005Metric,143.975,-55.925,180.0,bottom
C24,1uF,C_0402_1005Metric,143.975,-56.8,180.0,bottom
C25,100nF,C_0402_1005Metric,153.52,-69.25,0.0,top
D1,"PMEG3010ER,115",D_SOD-123,136.375,-47.875,90.0,bottom
D2,"PMEG3010ER,115",D_SOD-123,139.955,-49.0,0.0,bottom
D3,"PMEG3010ER,115",D_SOD-123,139.95,-46.7,0.0,bottom
D4,LED_Small,LED_1206_3216Metric_ReverseMount_Hole1.8x2.4mm,102.2,-70.75,270.0,bottom
J2,Conn_01x24_MountingPin,Jushuo_AFC07-S24FCA-00_1x24-1MP_P0.50_Horizontal,148.05,-53.0,270.0,bottom
L4,10uH,L_0805_2012Metric,142.2,-52.0,270.0,bottom
Q1,Q_NMOS_GSD,SOT-23,139.3875,-52.15,90.0,bottom
Q2,Q_NMOS_GSD,SOT-23,102.2,-63.2,270.0,bottom
R1,1MR,R_0402_1005Metric,144.7,-59.0,270.0,bottom
R10,10kR,R_0402_1005Metric,154.49,-67.3,0.0,bottom
R3,3R,R_0603_1608Metric,143.4,-58.8,270.0,bottom
R7,1MR,R_0402_1005Metric,102.2,-60.7,180.0,bottom
R8,1kR,R_0402_1005Metric,101.2,-67.3,270.0,bottom
R9,10kR,R_0402_1005Metric,152.59,-67.3,180.0,bottom
SW1,SW_Push,SW_Push_1P1T_NO_Vertical_Wuerth_434133025816,114.0,-70.75,0.0,top
SW2,SW_Push,SW_Push_1P1T_NO_Vertical_Wuerth_434133025816,124.0,-70.75,0.0,top
SW3,SW_Push,SW_Push_1P1T_NO_Vertical_Wuerth_434133025816,134.0,-70.75,0.0,top
SW4,SW_Push,SW_Push_1P1T_NO_Vertical_Wuerth_434133025816,144.0,-70.75,0.0,top
U1,BM15x,BM15x-LGA-45_15.8x10mm,109.1,-51.35,0.0,bottom
U2,SHT4x,Sensirion_DFN-4_1.5x1.5mm_P0.8mm_SHT4x_NoCentralPad,153.52,-70.75,180.0,top
Y2,32.768KHz,Crystal_SMD_2012-2Pin_2.0x1.2mm,110.9,-57.175,90.0,bottom
